date,model,time,stars
2026-05-08,UK4,07:00,0.0
2026-05-08,UK4,07:30,0.1
2026-05-08,UK4,08:00,0.1
2026-05-08,UK4,08:30,0.1
2026-05-08,UK4,09:00,0.3
2026-05-08,UK4,09:30,1.3
2026-05-08,UK4,10:00,2.5
2026-05-08,UK4,10:30,4.1
2026-05-08,UK4,11:00,5.3
2026-05-08,UK4,11:30,6.2
2026-05-08,UK4,12:00,6.4
2026-05-08,UK4,12:30,6.4
2026-05-08,UK4,13:00,6.3
2026-05-08,UK4,13:30,6.3
2026-05-08,UK4,14:00,6.1
2026-05-08,UK4,14:30,6.0
2026-05-08,UK4,15:00,6.0
2026-05-08,UK4,15:30,5.5
2026-05-08,UK4,16:00,4.6
2026-05-08,UK4,16:30,3.5
2026-05-08,UK4,17:00,2.2
2026-05-08,UK4,17:30,1.9
2026-05-08,UK4,18:00,1.5
2026-05-08,UK4,18:30,0.2
2026-05-08,UK4,19:00,0.1
2026-05-08,UK4,19:30,0.1
2026-05-08,UK4,20:00,0.1
2026-05-08,UK4,20:30,0.1
2026-05-08,UK4,21:00,0.1
2026-05-09,UK4+1,07:00,0.0
2026-05-09,UK4+1,07:30,0.1
2026-05-09,UK4+1,08:00,0.1
2026-05-09,UK4+1,08:30,0.1
2026-05-09,UK4+1,09:00,0.1
2026-05-09,UK4+1,09:30,0.1
2026-05-09,UK4+1,10:00,0.4
2026-05-09,UK4+1,10:30,0.9
2026-05-09,UK4+1,11:00,2.1
2026-05-09,UK4+1,11:30,3.5
2026-05-09,UK4+1,12:00,4.1
2026-05-09,UK4+1,12:30,4.9
2026-05-09,UK4+1,13:00,5.3
2026-05-09,UK4+1,13:30,5.4
2026-05-09,UK4+1,14:00,5.5
2026-05-09,UK4+1,14:30,6.1
2026-05-09,UK4+1,15:00,6.1
2026-05-09,UK4+1,15:30,5.8
2026-05-09,UK4+1,16:00,4.6
2026-05-09,UK4+1,16:30,3.3
2026-05-09,UK4+1,17:00,1.4
2026-05-09,UK4+1,17:30,1.0
2026-05-09,UK4+1,18:00,0.4
2026-05-09,UK4+1,18:30,0.3
2026-05-09,UK4+1,19:00,0.1
2026-05-10,UK4+2,07:00,0.0
2026-05-10,UK4+2,07:30,0.1
2026-05-10,UK4+2,08:00,0.1
2026-05-10,UK4+2,08:30,0.1
2026-05-10,UK4+2,09:00,0.1
2026-05-10,UK4+2,09:30,0.1
2026-05-10,UK4+2,10:00,0.1
2026-05-10,UK4+2,10:30,0.1
2026-05-10,UK4+2,11:00,0.1
2026-05-10,UK4+2,11:30,0.1
2026-05-10,UK4+2,12:00,0.1
2026-05-10,UK4+2,12:30,0.2
2026-05-10,UK4+2,13:00,0.7
2026-05-10,UK4+2,13:30,0.8
2026-05-10,UK4+2,14:00,1.1
2026-05-10,UK4+2,14:30,1.7
2026-05-10,UK4+2,15:00,2.0
2026-05-10,UK4+2,15:30,2.0
2026-05-10,UK4+2,16:00,2.2
2026-05-10,UK4+2,16:30,2.0
2026-05-10,UK4+2,17:00,1.9
2026-05-10,UK4+2,17:30,0.6
2026-05-10,UK4+2,18:00,0.5
2026-05-10,UK4+2,18:30,0.1
2026-05-10,UK4+2,19:00,0.1
